Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,910.0,910.0,880.0,897.5999755859375,814.252197265625,426
2002-07-02,900.0,905.0,895.0,903.6500244140625,819.740478515625,310
2002-07-03,910.0,910.0,900.0,906.7000122070312,822.507080078125,336
2002-07-04,920.0,925.0,910.0,916.7999877929688,831.6691284179688,591
2002-07-05,915.0,935.0,910.0,927.2999877929688,841.1941528320312,1623
2002-07-08,930.0,933.0,918.0,929.0499877929688,842.7818603515625,1595
2002-07-09,934.0,934.0,900.1500244140625,904.4000244140625,820.420654296875,586
2002-07-10,910.0,917.9000244140625,901.0,910.7000122070312,826.135986328125,826
2002-07-11,891.0,920.0,885.0,893.9500122070312,810.94091796875,1265
2002-07-12,908.9000244140625,909.0,890.0999755859375,896.5,813.254150390625,361
2002-07-15,900.0,910.0,871.2000122070312,875.0,793.7505493164062,1265
2002-07-16,890.0,890.0,880.0,883.0499877929688,801.0531005859375,552
2002-07-17,880.0999755859375,883.0,880.0,881.6500244140625,799.7833862304688,572
2002-07-18,867.0,925.0,867.0,912.4000244140625,827.6776733398438,1293
2002-07-19,915.0,915.0,903.0,907.4500122070312,823.1874389648438,415
2002-07-22,898.0,901.0,880.0,885.5,803.2755737304688,756
2002-07-23,870.0,894.9000244140625,870.0,891.4000244140625,808.6279296875,271
2002-07-24,864.0,894.9500122070312,864.0,888.5,805.9971313476562,423
2002-07-25,900.0,900.0,891.0,892.0,809.1721801757812,355
2002-07-26,852.0,884.9000244140625,852.0,881.7000122070312,799.8284301757812,1101
2002-07-29,884.0,905.0,852.0,897.0,813.7078247070312,2486
2002-07-30,917.0,928.0,890.0,894.1500244140625,811.12255859375,1657
2002-07-31,876.0,898.9000244140625,870.0,889.75,807.1311645507812,1149
2002-08-01,898.0,898.0,883.5999755859375,884.9500122070312,802.7769165039062,659
2002-08-02,876.0,890.0,872.25,889.4000244140625,806.8135375976562,666
2002-08-05,850.0,927.0,850.0,914.6500244140625,829.7188720703125,1726
2002-08-06,970.0,970.0,893.0,906.0999755859375,821.962890625,691
2002-08-07,906.0,960.0499877929688,906.0,949.0499877929688,860.924560546875,5411
2002-08-08,949.7999877929688,949.7999877929688,894.0,900.5999755859375,816.9737548828125,1071
2002-08-09,890.0,920.0,890.0,907.2000122070312,825.71142578125,417
2002-08-12,909.0,929.0,909.0,923.9000244140625,840.9110717773438,587
2002-08-13,922.1500244140625,929.75,910.0,910.4500122070312,828.6693115234375,450
2002-08-14,891.0499877929688,908.5,891.0,897.3499755859375,816.7459716796875,409
2002-08-15,897.3499755859375,897.3499755859375,897.3499755859375,897.3499755859375,816.7459716796875,0
2002-08-16,849.9000244140625,919.0,849.9000244140625,908.0,826.4393310546875,205
2002-08-19,905.0,905.0,894.0,895.7999877929688,815.33544921875,349
2002-08-20,889.0,905.0,889.0,901.0499877929688,820.1137084960938,333
2002-08-21,890.0,913.0,890.0,906.25,824.846435546875,747
2002-08-22,910.0,925.0,905.5499877929688,911.1500244140625,829.3067016601562,675
2002-08-23,924.0,924.7000122070312,902.0,902.5,821.4332275390625,482
2002-08-26,915.0,920.0,902.0999755859375,912.0,830.0801391601562,156
2002-08-27,910.0,910.0,900.0,901.6500244140625,820.6598510742188,2288
2002-08-28,890.25,900.0,888.0999755859375,890.2000122070312,810.2383422851562,365
2002-08-29,888.0,895.0,888.0,891.9000244140625,811.78564453125,252
2002-08-30,899.9500122070312,907.9000244140625,892.2000122070312,901.5999755859375,820.6144409179688,323
2002-09-02,907.0,911.0,892.0,897.4000244140625,816.7916870117188,215
2002-09-03,909.9000244140625,909.9000244140625,890.0,895.0,814.607177734375,141
2002-09-04,899.9500122070312,904.0,890.0499877929688,894.6500244140625,814.28857421875,210
2002-09-05,893.1500244140625,914.0,893.1500244140625,898.1500244140625,817.4740600585938,70
2002-09-06,851.0,902.0,851.0,901.4000244140625,820.4325561523438,453
2002-09-09,840.0,900.0,840.0,896.5499877929688,816.0174560546875,636
2002-09-10,896.5499877929688,896.5499877929688,896.5499877929688,896.5499877929688,816.0174560546875,0
2002-09-11,900.0,909.0,900.0,909.0,827.3497314453125,255
2002-09-12,900.0,917.0,893.5,915.9500122070312,833.67529296875,348
2002-09-13,906.0,913.7999877929688,905.0499877929688,906.0499877929688,824.66455078125,202
2002-09-16,895.0,912.0,895.0,907.5499877929688,826.0301513671875,201
2002-09-17,905.0,913.0,905.0,909.5499877929688,827.8501586914062,353
2002-09-18,905.9000244140625,914.0,905.0,910.9000244140625,829.0791015625,910
2002-09-19,905.0499877929688,914.9500122070312,905.0499877929688,908.2999877929688,826.712646484375,208
2002-09-20,906.0,917.0,906.0,915.5,833.265625,660
2002-09-23,906.0,913.5,905.0,910.25,828.4873657226562,1170
2002-09-24,906.0,914.0,906.0,912.9000244140625,830.899169921875,1038
2002-09-25,905.0,914.9000244140625,905.0,914.25,832.1281127929688,440
2002-09-26,902.0,915.0,902.0,913.2000122070312,831.17236328125,312
2002-09-27,912.0,928.0,912.0,922.9500122070312,840.046630859375,757
2002-09-30,920.0,920.0,881.5499877929688,899.5499877929688,818.7486572265625,369
2002-10-01,911.0,911.0,872.0499877929688,878.1500244140625,799.2705688476562,278
2002-10-02,878.1500244140625,878.1500244140625,878.1500244140625,878.1500244140625,799.2705688476562,0
2002-10-03,890.0,890.0,870.0,875.5,796.858642578125,319
2002-10-04,876.0,880.0,866.0999755859375,871.5,793.2180786132812,133
2002-10-07,875.0,880.0,860.0,880.0,800.9544067382812,102
2002-10-08,870.0,887.9500122070312,870.0,878.0,799.1342163085938,32
2002-10-09,865.0,888.7000122070312,865.0,873.8499755859375,795.3570556640625,161
2002-10-10,870.0,870.0,836.0,837.9000244140625,762.6359252929688,314
2002-10-11,849.9500122070312,852.0,836.0999755859375,838.0,762.7269287109375,436
2002-10-14,825.0,856.9500122070312,825.0,842.5,766.822998046875,264
2002-10-15,842.5,842.5,842.5,842.5,766.822998046875,0
2002-10-16,849.4500122070312,854.9500122070312,840.25,850.25,773.8766479492188,138
2002-10-17,830.0999755859375,853.75,823.4000244140625,840.25,764.7750854492188,231
2002-10-18,779.4500122070312,849.9500122070312,779.4500122070312,841.4000244140625,765.8218383789062,191
2002-10-21,850.0,851.9000244140625,841.0,848.0,771.8289794921875,379
2002-10-22,854.0,854.0,848.0,849.4000244140625,773.1030883789062,192
2002-10-23,844.0,850.0,835.0,850.0,773.649169921875,104
2002-10-24,850.0,860.0,847.0,860.0,782.7508544921875,242
2002-10-25,855.0,861.0,848.0999755859375,854.8499755859375,778.0635375976562,317
2002-10-28,850.0999755859375,852.0,835.0,837.6500244140625,762.40869140625,123
2002-10-29,841.9000244140625,841.9000244140625,825.0,825.0999755859375,750.9857788085938,74
2002-10-30,821.0,833.9000244140625,815.0,815.0,741.7928466796875,422
2002-10-31,816.0,828.0,812.0,814.8499755859375,741.65673828125,185
2002-11-01,811.0,840.0,811.0,837.5,762.2720336914062,114
2002-11-04,878.9000244140625,878.9000244140625,821.0499877929688,858.5,781.3853759765625,73
2002-11-05,820.0,844.9000244140625,805.0,844.9000244140625,769.00732421875,81
2002-11-06,844.9000244140625,844.9000244140625,844.9000244140625,844.9000244140625,769.00732421875,0
2002-11-07,845.0,849.9000244140625,840.0499877929688,841.0499877929688,765.5031127929688,49
2002-11-08,841.0,852.0,840.75,843.6500244140625,767.8695068359375,369
2002-11-11,846.9500122070312,846.9500122070312,830.0,836.2999877929688,761.1796875,71
2002-11-12,835.0,840.0,832.0,839.4500122070312,764.046630859375,140
2002-11-13,840.0,852.9500122070312,840.0,841.9000244140625,769.0249633789062,126
2002-11-14,842.0,844.0,833.0,843.6500244140625,770.6233520507812,81
2002-11-15,841.0,844.0,837.0,843.0,770.0299072265625,38
2002-11-18,879.9500122070312,879.9500122070312,841.0,844.5,771.39990234375,366
2002-11-19,844.5,844.5,844.5,844.5,771.39990234375,0
2002-11-20,850.0,850.0,835.0,842.25,769.3448486328125,183
2002-11-21,838.0,845.0,835.0,844.0,770.9434204101562,35
2002-11-22,833.25,851.0,833.25,847.0999755859375,773.7750244140625,112
2002-11-25,850.0,859.0999755859375,845.2000122070312,848.5999755859375,775.1449584960938,401
2002-11-26,847.1500244140625,853.6500244140625,841.0,846.4500122070312,773.1810913085938,255
2002-11-27,847.2999877929688,874.0,847.2999877929688,854.9500122070312,780.94580078125,316
2002-11-28,856.25,874.0,856.25,869.75,794.46435546875,273
2002-11-29,849.0,869.0,849.0,853.0,779.164306640625,230
2002-12-02,848.0999755859375,872.0,848.0999755859375,867.2000122070312,792.1353149414062,126
2002-12-03,870.9500122070312,871.0,840.0,843.6500244140625,770.6233520507812,870
2002-12-04,850.0,850.0,840.0,849.0499877929688,775.55615234375,303
2002-12-05,850.5,878.0,850.5,873.7999877929688,798.1640625,1007
2002-12-06,870.0,874.9000244140625,863.0,872.25,796.7478637695312,422
2002-12-09,860.0,870.0,850.0,854.4000244140625,780.4429931640625,1458
2002-12-10,844.0,864.2999877929688,835.0,863.0999755859375,788.3901977539062,758
2002-12-11,875.0,875.0,855.0,856.5999755859375,782.45263671875,188
2002-12-12,857.0,867.0,850.0,864.2999877929688,789.4861450195312,123
2002-12-13,846.0,865.0,843.5499877929688,862.7000122070312,788.0245971679688,399
2002-12-16,865.0,870.0,862.0,865.0,790.1256713867188,575
2002-12-17,872.0,874.0,865.0,871.0,795.6063842773438,425
2002-12-18,875.0,887.4500122070312,875.0,881.7999877929688,805.4715576171875,685
2002-12-19,881.5,914.0,881.5,904.25,825.9783325195312,1675
2002-12-20,911.0,941.0,910.0,924.9000244140625,844.8407592773438,2299
2002-12-23,940.0,949.0,925.1500244140625,934.5499877929688,853.6555786132812,1842
2002-12-24,948.9500122070312,948.9500122070312,910.0,922.2000122070312,842.3743286132812,730
2002-12-25,922.2000122070312,922.2000122070312,922.2000122070312,922.2000122070312,842.3743286132812,0
2002-12-26,931.9500122070312,931.9500122070312,911.0,913.9500122070312,834.8384399414062,384
2002-12-27,912.0,920.0,880.0,895.0,817.5287475585938,906
2002-12-30,900.0,911.2999877929688,893.0499877929688,895.2000122070312,817.7113647460938,754
2002-12-31,891.0,910.0,891.0,909.0999755859375,830.4080200195312,360
2003-01-01,914.7999877929688,914.8499755859375,900.25,908.1500244140625,829.5406494140625,120
2003-01-02,914.8499755859375,914.8499755859375,895.0,899.9500122070312,822.05029296875,343
2003-01-03,897.0999755859375,904.9000244140625,894.0,895.8499755859375,818.30517578125,126
2003-01-06,909.75,909.7999877929688,880.1500244140625,890.5499877929688,813.4641723632812,135
2003-01-07,900.0,900.0,890.0,892.25,815.0167846679688,108
2003-01-08,890.0,901.0,875.0,880.2999877929688,804.101318359375,371
2003-01-09,897.8499755859375,897.8499755859375,878.1500244140625,884.4500122070312,807.89208984375,147
2003-01-10,881.0,890.0,878.25,881.5999755859375,805.28857421875,188
2003-01-13,880.2000122070312,880.2000122070312,878.25,879.1500244140625,803.0505981445312,32
2003-01-14,881.0,881.0,880.0,880.5499877929688,804.3294677734375,131
2003-01-15,880.0,888.7000122070312,875.0,886.7999877929688,810.038818359375,285
2003-01-16,875.0,888.6500244140625,875.0,886.2999877929688,809.5818481445312,215
2003-01-17,884.9000244140625,885.0,875.0,875.0,799.2599487304688,66
2003-01-20,877.0,880.0,865.0,869.7000122070312,794.4188232421875,2148
2003-01-21,880.0,880.0,860.0,872.9000244140625,797.3416137695312,743
2003-01-22,886.9000244140625,889.0,860.0,866.7000122070312,791.678466796875,720
2003-01-23,882.9000244140625,905.0,864.0,889.5999755859375,812.5963134765625,703
2003-01-24,865.0,909.0,865.0,888.5999755859375,811.6827392578125,1002
2003-01-27,888.0,888.0,850.0,857.5,783.27490234375,330
2003-01-28,856.0,860.0,856.0,860.0,785.558349609375,191
2003-01-29,861.2000122070312,894.9500122070312,861.2000122070312,881.75,805.425537109375,522
2003-01-30,899.0,904.0,876.1500244140625,888.6500244140625,811.7284545898438,833
2003-01-31,888.4500122070312,896.0,876.0,890.7000122070312,813.6009521484375,430
2003-02-03,889.0,904.0,886.0,900.2999877929688,822.369873046875,477
2003-02-04,900.0,904.0,900.0,900.4500122070312,822.507080078125,432
2003-02-05,900.0,902.0,896.0,901.0,823.0093994140625,420
2003-02-06,909.5,910.0,895.0,900.0,822.0958251953125,329
2003-02-07,905.0,910.0,883.0499877929688,886.0,809.3078002929688,490
2003-02-10,870.2999877929688,894.6500244140625,870.0999755859375,879.4500122070312,803.3248291015625,155
2003-02-11,880.0,884.0,865.0,871.7999877929688,796.3370361328125,262
2003-02-12,884.0,887.0999755859375,870.0999755859375,874.7999877929688,799.077392578125,176
2003-02-13,874.7999877929688,874.7999877929688,874.7999877929688,874.7999877929688,799.077392578125,0
2003-02-14,883.0,888.4500122070312,871.0,884.4000244140625,807.846435546875,157
2003-02-17,880.0,885.0,872.5,875.3499755859375,799.5797729492188,352
2003-02-18,885.0,888.0,862.0,871.7999877929688,796.3370361328125,494
2003-02-19,879.9000244140625,890.0,869.0999755859375,869.5999755859375,794.3275146484375,390
2003-02-20,884.9000244140625,889.0,867.5,874.9000244140625,799.168701171875,425
2003-02-21,883.0,883.0,871.0,873.2999877929688,797.7072143554688,181
2003-02-24,882.0,900.0,880.0,880.5499877929688,804.3294677734375,347
2003-02-25,893.9500122070312,893.9500122070312,876.0,890.4000244140625,813.3272094726562,1063
2003-02-26,875.0,883.0,875.0,880.4500122070312,804.2383422851562,549
2003-02-27,875.2000122070312,883.7000122070312,873.0999755859375,875.4500122070312,799.6710815429688,337
2003-02-28,890.0,900.0,863.0,892.5,815.2452392578125,1125
2003-03-03,898.7999877929688,914.0,886.0,911.5999755859375,832.6920776367188,2043
2003-03-04,905.0,909.0,896.0,899.75,834.6864624023438,749
2003-03-05,888.0,904.5,888.0,900.0999755859375,835.010986328125,195
2003-03-06,900.0,922.7999877929688,900.0,918.6500244140625,852.2196655273438,1513
2003-03-07,910.0,920.0,910.0,911.5999755859375,845.6798706054688,968
2003-03-10,919.0,938.5999755859375,910.0,910.0,844.1953735351562,1255
2003-03-11,900.0,910.0,881.0,888.8499755859375,824.5744018554688,890
2003-03-12,890.0499877929688,904.0,880.0,880.5,816.828369140625,169
2003-03-13,875.0,882.0,870.0,870.0499877929688,807.1339721679688,158
2003-03-14,870.0499877929688,870.0499877929688,870.0499877929688,870.0499877929688,807.1339721679688,0
2003-03-17,863.0,895.0,863.0,893.0,828.4246215820312,275
2003-03-18,893.0,893.0,893.0,893.0,828.4246215820312,0
2003-03-19,875.5499877929688,888.0,875.5499877929688,877.0,813.58154296875,98
2003-03-20,854.5499877929688,890.0,854.5499877929688,890.0,825.6414794921875,124
